
Category,Item,Customer ID,Gender,Age,Quantity,Price per Unit,Total Amount,Date
Beauty,Beauty Product,CUST001,Male,34,3,50,150,2023-11-24
Clothing,Clothing Item,CUST002,Female,26,2,500,1000,2023-02-27
Electronics,Electronics Item,CUST003,Male,50,1,30,30,2023-01-13
Clothing,Clothing Item,CUST004,Male,37,1,500,500,2023-05-21
Beauty,Beauty Product,CUST005,Male,30,2,50,100,2023-05-06
Beauty,Beauty Product,CUST006,Female,45,1,30,30,2023-04-25
Clothing,Clothing Item,CUST007,Male,46,2,25,50,2023-03-13
Electronics,Electronics Item,CUST008,Male,30,4,25,100,2023-02-22
Electronics,Electronics Item,CUST009,Male,63,2,300,600,2023-12-13
Clothing,Clothing Item,CUST010,Female,52,4,50,200,2023-10-07
